parameter_name,Iron
mouse_strain,C57BL
pvalue,0.5782848
parameter_id,IMPC_CBC_011_001
mouse_life_stage,E12.5
analysis_id,3fldgcbpq0xor23
gene_accession_id,MGI:1917810
gene_symbol,Wars2
