parameter_name,Neural tube closure
mouse_life_stage,Early adult
pvalue,0.7833427
parameter_id,IMPC_GEL_027_001
gene_symbol,Mms22l
analysis_id,30v8r1k24s242ms
gene_accession_id,MGI:2684980
mouse_strain,C57BL
