parameter_name,Humerus
mouse_strain,C57BL
analysis_id,1zd52836jid9436
pvalue,0.8323127
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_id,IMPC_XRY_021_001
