analysis_id,e7z5cv86k96443k
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
pvalue,0.09014678
mouse_strain,C57BL
gene_symbol,Duoxa2
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
