parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_strain,C57BL
pvalue,0.2486268
parameter_name,NKT cells (panel A)
analysis_id,wu762dk20o68h7j
mouse_life_stage,Early adult
