gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_id,MGP_MLN_009_001
parameter_name,Effector Treg cells - % of Treg
analysis_id,x127er0cs447j84
pvalue,0.8151592
