gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,MGP_MLN_011_001
mouse_life_stage,E15.5
pvalue,0.1384412
parameter_name,KLRG1+ Treg cells - % of Treg
analysis_id,c4680ypubpy0570
gene_accession_id,MGI:2444554
