parameter_id,HMGULA_GRS_008_001
mouse_strain,C57BL
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
pvalue,0.4039064
parameter_name,Forelimb grip strength measurement mean
analysis_id,ks1xfb10k7hv7d2
gene_symbol,Cdin1
