parameter_id,IMPC_HEM_039_001
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
pvalue,0.1916704
mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) count
gene_symbol,Mapkap1
analysis_id,5x6k4w2ax3004ul
