analysis_id,1t8ol5352g7119p
parameter_name,Number of centre entries
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
gene_symbol,Sema6c
pvalue,0.6169536
gene_accession_id,MGI:1338032
