parameter_id,JAX_LDT_002_001
pvalue,0.3049189
analysis_id,rchaa27o56a039n
mouse_life_stage,Early adult
gene_symbol,Slc39a10
mouse_strain,C57BL
gene_accession_id,MGI:1914515
parameter_name,Light side time spent
