analysis_id,63y89k8x969cng8
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
parameter_name,Monocyte percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
pvalue,0.1638282
gene_symbol,Nanp
