analysis_id,if4w99n8j3ipe1i
parameter_name,Vocalization
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1716436
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_id,IMPC_CSD_078_001
