parameter_name,NK cell number
mouse_strain,C57BL
pvalue,0.9843975
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
gene_symbol,Sprr1b
analysis_id,0s0062y8834p218
parameter_id,MGP_PBI_027_001
