analysis_id,hk35964b433s971
gene_accession_id,MGI:1919935
parameter_name,Activity (body position)
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_029_001
gene_symbol,Dnajc6
mouse_strain,C57BL
pvalue,0.1024058
