analysis_id,20j70c317f16n01
pvalue,0.3977232
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:99605
gene_symbol,Cntfr
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Lean mass
