pvalue,2.92488e-12
analysis_id,yd1xf84v28tfx75
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
gene_accession_id,MGI:2140475
gene_symbol,AU040320
