gene_symbol,Ahcy
gene_accession_id,MGI:87968
parameter_name,Cholesterol ratio
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.5998609
parameter_id,IMPC_CBC_058_001
analysis_id,s64l355m7d66q6b
