analysis_id,3i6q30973pgb2lr
gene_symbol,Ppm1j
pvalue,0.6790387
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
gene_accession_id,MGI:1919137
mouse_strain,C57BL
