parameter_name,Platelet count
mouse_strain,129SV
analysis_id,2zn3y8w9uj83127
pvalue,0.9844319
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_id,IMPC_HEM_008_001
