analysis_id,6yv5y3z2ejrppf2
pvalue,0.5626164
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
parameter_name,Total cholesterol
gene_symbol,Casq1
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
