analysis_id,74244u8kqu1ipw7
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
pvalue,0.4596757
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
mouse_strain,C57BL
