parameter_name,Liver weight
analysis_id,jlq5gv61m842ssu
pvalue,0.4455885
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
gene_symbol,Clvs1
