gene_symbol,Nanp
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
gene_accession_id,MGI:1914561
pvalue,0.5705948
analysis_id,4awv38rwzyo4kj0
