analysis_id,0jxypc1d475155b
gene_accession_id,MGI:2444114
mouse_strain,C57BL
pvalue,0.4097559
parameter_name,Tibia
mouse_life_stage,Early adult
gene_symbol,Zcchc2
parameter_id,IMPC_XRY_025_001
