analysis_id,jhe43xq5832u42m
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_name,Facial Morphology
pvalue,0.7075429
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Late adult
