analysis_id,s21d81kiwgz91h0
parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
pvalue,0.3409996
gene_symbol,Lcn2
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:96757
mouse_strain,C57BL
