analysis_id,15j14479113379k
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
mouse_strain,C57BL
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
pvalue,0.0888087
