gene_symbol,Bach2
parameter_name,Resting NK cells - % of NK cells
mouse_strain,C57BL
pvalue,0
mouse_life_stage,Early adult
analysis_id,bv124e0h6i5h9uc
gene_accession_id,MGI:894679
parameter_id,MGP_MLN_033_001
