Parameter_name,Neutrophil percentage
Analysis_id,5028jaa55lux9d3
Gene_accession_id,MGI:97838
Parameter_id,MGP_PBI_019_001
Gene_symbol,Eprs1
Mouse_strain,C57BL
pvalue,0.8498701
Mouse_life_stage,E12.5
