analysis_id,8g9ujm8t76nn996
pvalue,0.3894876
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
mouse_strain,C57BL
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
