gene_symbol,Snap23
parameter_name,Resting Treg cells - % of Treg
pvalue,0.7071282
analysis_id,n4es68q57s4y63j
gene_accession_id,MGI:109356
parameter_id,MGP_MLN_010_001
mouse_life_stage,Late adult
mouse_strain,C57BL
