parameter_name,Gait
parameter_id,IMPC_CSD_033_001
analysis_id,pegn40627330g01
gene_symbol,Tox
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6471855
gene_accession_id,MGI:2181659
