analysis_id,8q475t16j9s1xhu
gene_accession_id,MGI:1919137
parameter_name,Limb grasping
mouse_strain,C57BL
pvalue,0.2489732
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
gene_symbol,Ppm1j
