gene_symbol,Opn3
mouse_strain,C57BL
pvalue,0.8827886
analysis_id,7o97cz50060694t
parameter_name,CD8+ alpha beta T cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_id,MGP_PBI_004_001
