parameter_name,Eosinophil cell count
parameter_id,IMPC_HEM_036_001
analysis_id,t8735o3630554t0
pvalue,0.4784166
gene_accession_id,MGI:3650254
mouse_strain,C57BL
gene_symbol,Zfp683
mouse_life_stage,Early adult
