analysis_id,b398az2c0r0ey7l
gene_symbol,Col6a3
pvalue,0.6335856
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_accession_id,MGI:88461
