analysis_id,v211s2qp657x71c
gene_accession_id,MGI:95835
pvalue,0.7417879
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,E12.5
gene_symbol,Hspa5
