analysis_id,3xzuiv6v3faiee3
gene_symbol,Pld1
pvalue,0.2353066
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
mouse_strain,C57BL
