analysis_id,j968v7732f9jgzf
mouse_life_stage,E18.5
pvalue,0.6499038
parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
mouse_strain,C57BL
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
