mouse_strain,129SV
pvalue,0.8993547
analysis_id,e9t1068wfk40zjj
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
gene_symbol,Nipal3
parameter_id,MGP_IMM_026_001
