gene_symbol,Ahcy
gene_accession_id,MGI:87968
parameter_id,JAXLA_CSD_007_001
mouse_strain,C57BL
pvalue,0.6109603
parameter_name,Coat - color - abdomen
analysis_id,4vc907k484cvqbk
mouse_life_stage,E12.5
