analysis_id,a25m1m9drk38slc
parameter_id,HMGULA_DYS_024_001
gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.8229136
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:1923959
