analysis_id,024axv81i9sz6p3
gene_symbol,Slc28a2
parameter_name,Lean mass
mouse_strain,C57BL
pvalue,0.4859596
parameter_id,IMPC_DXA_003_001
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
