parameter_name,Time mobile dark side
analysis_id,526n81jr24f8795
mouse_life_stage,Early adult
pvalue,0.531667
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,JAX_LDT_005_001
gene_accession_id,MGI:2140475
