gene_symbol,Lcn2
parameter_name,Radius
analysis_id,njrtusx94901bsx
mouse_strain,C57BL
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_022_001
pvalue,0.7477992
