parameter_id,IMPC_XRY_018_001
gene_symbol,Dmap1
parameter_name,Shape of vertebrae
analysis_id,y45ul62sp77b191
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.5002683
