parameter_id,TCPLA_XRY_033_001
pvalue,1.375535
gene_accession_id,MGI:1922745
analysis_id,g53oa1j48s1e5x0
parameter_name,Tibia length
mouse_life_stage,Early adult
gene_symbol,Morn5
mouse_strain,C57BL
