analysis_id,5f9n90hmdr0x77z
parameter_id,HRWLLA_OFD_007_001
mouse_life_stage,E9.5
parameter_name,Whole arena resting time
gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.4099975
