analysis_id,s94240mwfs35tw9
pvalue,0.3820566
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
gene_accession_id,MGI:1917604
