analysis_id,94lyeb436l702os
parameter_id,IMPC_XRY_022_001
pvalue,0.1488335
parameter_name,Radius
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
mouse_strain,C57BL
