parameter_name,Percent time in dark
analysis_id,8bb53wasyr66775
pvalue,0.284148
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
gene_symbol,Kcng1
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
