parameter_name,Retina (combined)
mouse_strain,C57BL
gene_symbol,Tox
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:2181659
analysis_id,1uy00b5v7655fdg
mouse_life_stage,Early adult
pvalue,0.1366175
