analysis_id,31h89257609cp73
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
pvalue,0.7397804
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_name,Center average speed
