analysis_id,4yg8u1jg0ivc670
pvalue,0.1044916
parameter_name,Pale yolk sac
mouse_strain,C57BL
gene_symbol,Cd52
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:1346088
