parameter_name,Thyroxine
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
gene_symbol,Kcng1
pvalue,0.7877743
mouse_strain,C57BL
analysis_id,pr8ecix8r20x5d9
parameter_id,IMPC_CBC_053_001
