gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,MGP_IMM_074_001
pvalue,0.2417832
parameter_name,Resting CD4+ T helper cells - % of CD45+
analysis_id,j00q1tln3j11a85
