parameter_name,Calcium
analysis_id,4kc353l4k5w8c8k
gene_symbol,Bmp7
gene_accession_id,MGI:103302
pvalue,0.1531478
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
