parameter_name,Corneal opacity
mouse_strain,129SV
analysis_id,896d3xhk93t685w
pvalue,0.7306565
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_EYE_008_001
gene_symbol,Inpp1
