Parameter_name,Neural tube morphology
Gene_accession_id,MGI:1915087
Analysis_id,muj378ynz2j1693
Gene_symbol,Tiprl
Parameter_id,IMPC_GEL_060_001
Pvalue,0.7802047
mouse_life_stage,E9.5
Mouse_strain,C57BL
