analysis_id,5tzog1lkb605cnv
mouse_strain,C57BL
gene_accession_id,MGI:96646
pvalue,0.9922326
parameter_name,Body Weight
gene_symbol,Jun
mouse_life_stage,E15.5
parameter_id,M-G-P_020_001_001
