gene_symbol,Lcn2
analysis_id,q6j1ai38oi5ufzf
mouse_strain,C57BL
parameter_name,Cornea vascularisation
parameter_id,ESLIM_014_001_008
gene_accession_id,MGI:96757
pvalue,0.8670422
mouse_life_stage,Early adult
