analysis_id,p6fh0x95h8u14r9
mouse_strain,C57BL
gene_accession_id,MGI:1914556
parameter_name,Neutrophils
pvalue,0.09324223
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
parameter_id,IMPC_IMM_050_001
