analysis_id,2kys518504r648n
pvalue,3.139813e-11
mouse_strain,C57BL
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
parameter_name,30kHz-evoked ABR Threshold
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_012_001
